tA,vA,fA,pA,qA,aA
0,542.296265,60.000015,154.990845,-9.933385,69.542328
0.0333333,542.298096,60.000053,154.991501,-9.931389,69.543076
0.0666667,542.300171,60.000092,154.972137,-9.920259,69.544426
0.1,542.302734,60.000156,154.927948,-9.942898,69.546822
0.1333334,542.305786,60.000195,154.919159,-9.932243,69.549393
0.1666667,542.308838,60.000256,154.885406,-9.955445,69.552979
0.2,542.311768,60.000294,154.876816,-9.941589,69.55674
0.2333333,542.31488,60.000355,154.86348,-9.969045,69.561539
0.2666666,542.311401,60.000397,154.873459,-9.959331,69.566505
0.2999999,542.305908,60.000458,154.893097,-9.95049,69.572517
0.3333332,542.300354,60.000496,154.902679,-9.93751,69.578674
0.3666665,542.310242,60.000557,154.922028,-9.969851,69.585892
0.3999998,542.326904,60.000587,154.958344,-9.961906,69.593109
0.4333331,542.332703,60.000603,154.976517,-9.994149,69.600327
0.4666664,542.338501,60.00061,155.009735,-9.985982,69.607552
0.4999997,542.344421,60.000614,155.042999,-9.977822,69.614769
0.533333,542.350342,60.000618,155.066147,-9.965909,69.621986
0.5666663,542.36145,60.000618,155.065659,-9.990742,69.629196
0.5999996,542.381165,60.000618,155.082657,-9.975339,69.636414
0.6333329,542.389282,60.000618,155.061142,-9.992643,69.643616
0.6666662,542.394409,60.00061,155.053726,-9.969913,69.650665
0.6999995,542.402466,60.000572,155.052216,-9.997538,69.656837
0.7333328,542.419678,60.000595,155.013107,-10.007557,69.664032
0.7666661,542.431152,60.000607,154.972351,-10.017484,69.671234
0.7999994,542.4245,60.00061,154.946625,-10.03455,69.678444
0.8333327,542.439575,60.000614,154.927109,-10.052022,69.685654
0.866666,542.432617,60.000614,154.926376,-10.032403,69.692856
0.8999993,542.424255,60.000618,154.925262,-10.01273,69.700073
0.9333326,542.417664,60.000618,154.944855,-10.000566,69.707298
0.9666659,542.399658,60.000618,154.961197,-9.988181,69.714516
0.9999992,542.377686,60.000618,154.991333,-9.935273,69.721733
1.0333329,542.361206,60.000618,155.008072,-9.922908,69.728958
1.0666667,542.352356,60.000618,155.031845,-9.86651,69.736183
1.1000005,542.335144,60.000618,155.023346,-9.890834,69.743401
1.1333343,542.318176,60.000618,155.044769,-9.83429,69.75061
1.1666681,542.321594,60.000584,155.052155,-9.864799,69.757065
1.2000018,542.325134,60.000557,155.054245,-9.848189,69.763222
1.2333356,542.328613,60.000587,155.006424,-9.902195,69.770432
1.2666694,542.332031,60.000603,154.99855,-9.879044,69.777626
1.3000032,542.335693,60.00061,154.965714,-9.892608,69.784836
1.3333369,542.328918,60.000614,154.944778,-9.865555,69.792038
1.3666707,542.314331,60.000614,154.926987,-9.886238,69.799248
1.4000045,542.31427,60.000618,154.938324,-9.870455,69.806465
1.4333383,542.323914,60.000618,154.937561,-9.895291,69.813683
1.4666721,542.321167,60.000618,154.958252,-9.883159,69.820892
1.5000058,542.314514,60.000618,154.977829,-9.870945,69.828117
1.5333396,542.311829,60.000618,154.988434,-9.855088,69.835335
1.5666734,542.321228,60.000584,155.017807,-9.893104,69.841789
1.6000072,542.31842,60.000549,155.053131,-9.843739,69.847809
1.633341,542.315369,60.0005,155.083511,-9.840551,69.853081
1.6666747,542.322998,60.000458,155.091904,-9.875545,69.857887
1.7000085,542.341675,60.000439,155.108185,-9.866582,69.862694
1.7333423,542.357605,60.000427,155.083923,-9.934804,69.867508
1.7666761,542.364258,60.000423,155.076508,-9.918217,69.872307
1.8000098,542.368713,60.00042,155.063782,-9.945767,69.877106
1.8333436,542.372925,60.00042,155.045609,-9.92545,69.881912
1.8666774,542.381836,60.000416,155.003784,-9.941991,69.886703
1.9000112,542.40155,60.000416,154.965088,-9.958745,69.891502
1.933345,542.410339,60.000416,154.933365,-9.979004,69.896294
1.9666787,542.413696,60.000416,154.914932,-9.958665,69.9011
2.0000124,542.417236,60.000416,154.912079,-9.989932,69.905907
2.0333452,542.421387,60.000423,154.899323,-10.017093,69.910858
2.066678,542.427734,60.000473,154.892044,-9.997269,69.91687
2.1000109,542.436035,60.000496,154.890823,-10.025367,69.922874
2.1333437,542.445374,60.000507,154.904633,-10.012982,69.928886
2.1666765,542.440247,60.000546,154.914474,-9.998302,69.935654
