tA,vA,fA,pA,qA,aA
0,545.353699,60.000015,134.998398,-11.92723,69.539192
0.0333333,545.330872,60.000015,135.023041,-11.845519,69.539192
0.0666667,545.327759,60.000015,135.007126,-11.886054,69.5392
0.1,545.285095,60.000019,135.016708,-11.800118,69.539207
0.1333334,545.253357,59.999802,135.109268,-11.755227,69.534752
0.1666667,545.214783,59.999199,135.375122,-11.665871,69.518372
0.2,545.149414,59.998829,135.552536,-11.552826,69.499016
0.2333333,545.131287,59.998711,135.625778,-11.529121,69.482597
0.2666666,545.131287,59.998367,135.732513,-11.534983,69.458687
0.2999999,545.13678,59.998192,135.708786,-11.584199,69.434746
0.3333332,545.122681,59.998108,135.609222,-11.513834,69.410782
0.3666665,545.106934,59.997631,135.619049,-11.506516,69.377861
0.3999998,545.09314,59.997257,135.572357,-11.538736,69.338928
0.4333331,545.128235,59.997208,135.401978,-11.645007,69.305939
0.4666664,545.158081,59.997044,135.259613,-11.68407,69.266968
0.4999997,545.202332,59.997528,134.849731,-11.76952,69.242905
0.533333,545.247925,59.997341,134.68129,-11.967894,69.209923
0.5666663,545.276184,59.996681,134.790024,-12.030915,69.162025
0.5999996,545.277527,59.99678,134.686264,-12.039637,69.123077
0.6333329,545.287415,59.997402,134.419937,-12.088375,69.09906
0.6666662,545.32428,59.997711,134.291794,-12.187715,69.075081
0.6999995,545.340942,59.997868,134.234833,-12.269191,69.051132
0.7333328,545.370117,59.997944,134.297562,-12.349161,69.027214
0.7666661,545.406494,59.997986,134.428207,-12.408253,69.003319
0.7999994,545.442993,59.998005,134.599274,-12.482967,68.979431
0.8333327,545.473755,59.998016,134.814865,-12.528886,68.955559
0.866666,545.481018,59.998024,135.019989,-12.52619,68.931694
0.8999993,545.453918,59.998024,135.2276,-12.434193,68.907822
0.9333326,545.444885,59.998241,135.308426,-12.374142,68.88839
0.9666659,545.417603,59.998417,135.344986,-12.290977,68.871979
0.9999992,545.424194,59.998436,135.352554,-12.340981,68.852531
1.0333328,545.445129,59.99873,135.20813,-12.359314,68.840561
1.0666666,545.438904,59.998875,135.082733,-12.340406,68.828606
1.1000004,545.42926,59.998947,134.950974,-12.365694,68.816658
1.1333342,545.41571,59.998985,134.854095,-12.358257,68.804718
1.1666679,545.427673,59.999004,134.788269,-12.407424,68.792778
1.2000017,545.421448,59.999012,134.733627,-12.415722,68.780853
1.2333355,545.406189,59.999233,134.647446,-12.401555,68.773392
1.2666693,545.396484,59.999195,134.673431,-12.434199,68.764412
1.3000031,545.383301,59.998825,134.874664,-12.421044,68.745064
1.3333368,545.368164,59.998928,134.924438,-12.424025,68.733177
1.3666706,545.352905,59.99876,135.105667,-12.396188,68.716782
1.4000044,545.343567,59.998608,135.267517,-12.367764,68.697403
1.4333382,545.357666,59.998817,135.258347,-12.392266,68.685493
