tA,vA,fA,pA,qA,aA
0,520.175598,60.000015,139.00882,-23.861971,69.541763
0.0333333,520.170776,59.999981,139.016907,-23.867161,69.541023
0.0666667,520.1604,59.999943,139.030487,-23.854195,69.539673
0.1,520.151917,59.999874,139.070663,-23.831966,69.537186
0.1333334,520.148987,59.999851,139.085831,-23.821739,69.534851
0.1666667,520.164246,59.999882,139.065277,-23.860506,69.53363
0.2,520.176636,59.999901,139.041489,-23.876146,69.532425
0.2333333,520.184143,59.999908,139.016403,-23.891575,69.531212
0.2666666,520.187134,59.999912,138.99733,-23.887413,69.530006
0.2999999,520.176147,59.99995,138.965149,-23.877188,69.529541
0.3333332,520.177673,59.999981,138.936493,-23.86643,69.529533
0.3666665,520.18335,60,138.913864,-23.901829,69.529526
0.3999998,520.172363,60.000008,138.908493,-23.878347,69.529526
0.4333331,520.173462,60.000011,138.908798,-23.878401,69.529526
0.4666664,520.180603,60.000046,138.903748,-23.896389,69.53022
0.4999997,520.192505,60.000076,138.909851,-23.917271,69.531319
0.533333,520.204468,60.000092,138.915955,-23.938147,69.532417
0.5666663,520.208862,60.000099,138.944183,-23.923548,69.533508
0.5999996,520.210754,60.000103,138.966965,-23.95117,69.534615
0.6333329,520.212646,60.000107,139.011444,-23.920691,69.535713
0.6666662,520.2146,60.000145,139.012741,-23.916246,69.53759
0.6999995,520.216492,60.000175,139.026337,-23.937338,69.539886
0.7333328,520.214661,60.000183,139.043671,-23.916279,69.542038
0.7666661,520.20697,60.000145,139.068649,-23.901098,69.543144
0.7999994,520.216125,60.000095,139.100327,-23.911327,69.543564
0.8333327,520.225708,60.000057,139.105362,-23.934742,69.543571
0.866666,520.234619,60,139.117111,-23.940598,69.542816
0.8999993,520.241577,59.999958,139.128143,-23.947439,69.541618
0.9333326,520.251953,59.999901,139.130081,-23.952778,69.539612
0.9666659,520.258057,59.999855,139.121002,-23.95557,69.537094
0.9999992,520.25946,59.999794,139.127228,-23.944178,69.533836
1.0333329,520.260803,59.999718,139.116074,-23.951296,69.529442
1.0666667,520.262146,59.99966,139.104645,-23.95977,69.524483
1.1000005,520.263428,59.999588,139.08313,-23.967205,69.518471
1.1333343,520.264771,59.999516,139.087891,-23.964302,69.511711
1.1666681,520.266113,59.999428,139.075211,-23.980228,69.503685
1.2000018,520.267456,59.999359,139.07193,-24.001331,69.49501
1.2333356,520.264954,59.999287,139.064804,-24.001575,69.485397
1.2666694,520.248413,59.999214,139.077789,-23.967907,69.475029
1.3000032,520.23114,59.99913,139.073151,-23.952841,69.463455
1.3333369,520.228577,59.999062,139.08429,-23.966581,69.451263
1.3666707,520.225952,59.998985,139.085312,-23.979313,69.438004
1.4000045,520.223328,59.998917,139.076324,-23.990183,69.424004
1.4333383,520.224304,59.998863,139.094788,-23.990171,69.409584
1.4666721,520.236145,59.998871,139.055878,-24.032459,69.395859
1.5000058,520.233826,59.998901,139.011063,-24.049639,69.382744
1.5333396,520.226685,59.998959,138.962997,-24.040976,69.370697
