tA,vA,fA,pA,qA,aA
0,544.233704,60.000015,147.999863,-11.912294,69.541161
0.0333333,544.256897,60.000015,148.011322,-11.960896,69.541153
0.0666667,544.260742,60.000015,148.002213,-11.957211,69.541153
0.1,544.282776,60.000233,147.90799,-12.000717,69.545639
0.1333334,544.265381,60.000408,147.823761,-11.950798,69.553116
0.1666667,544.280579,60.000214,147.89386,-12.021832,69.553139
0.2,544.263367,60.000114,147.939667,-11.947904,69.553154
0.2333333,544.251526,60.000069,148.002213,-11.925949,69.553177
0.2666666,544.246826,60.000042,148.05159,-11.944689,69.553192
0.2999999,544.269653,60.000031,148.098343,-11.960281,69.5532
0.3333332,544.301758,60.000023,148.122375,-12.012843,69.5532
0.3666665,544.306641,60.000019,148.113556,-12.009176,69.5532
0.3999998,544.274963,59.999805,148.210159,-11.921023,69.548767
0.4333331,544.255554,59.999626,148.28421,-11.877713,69.541313
0.4666664,544.24939,59.999821,148.186356,-11.887939,69.541298
0.4999997,544.245483,59.99992,148.104248,-11.857679,69.541267
0.533333,544.262756,59.999966,148.002777,-11.957037,69.541237
0.5666663,544.232361,59.999779,148.003571,-11.87929,69.536774
0.5999996,544.211121,59.999615,148.036652,-11.82085,69.529312
0.6333329,544.205383,59.999813,147.913651,-11.867809,69.529282
0.6666662,544.250549,59.999916,147.839996,-11.975308,69.529243
0.6999995,544.263367,59.999966,147.777695,-11.997263,69.529228
0.7333328,544.281189,59.999992,147.76741,-12.038195,69.529221
0.7666661,544.257446,60.000004,147.765961,-11.993356,69.529228
0.7999994,544.266235,60.000011,147.808868,-12.008647,69.529243
0.8333327,544.312622,60.000015,147.872253,-12.120946,69.529243
0.866666,544.345093,60.000015,147.931747,-12.140552,69.529259
0.8999993,544.370361,60.000019,148.009552,-12.167544,69.529282
0.9333326,544.368347,59.999805,148.14978,-12.139487,69.524857
0.9666659,544.357056,59.999416,148.361862,-12.112666,69.513
0.9999992,544.345886,59.999435,148.428055,-12.06577,69.505569
1.0333329,544.355896,59.999512,148.404556,-12.114323,69.501083
1.0666667,544.379333,59.999481,148.39415,-12.082342,69.493607
1.1000005,544.377441,59.999531,148.266083,-12.092826,69.489082
1.1333343,544.366394,59.999275,148.265594,-12.079132,69.477165
1.1666681,544.376404,59.999149,148.18985,-12.127984,69.465233
1.2000018,544.393555,59.999084,148.116043,-12.176985,69.453285
1.2333356,544.410828,59.999054,148.03717,-12.177855,69.441353
1.2666694,544.428101,59.999039,147.927887,-12.259708,69.429405
1.3000032,544.417786,59.999031,147.841522,-12.25987,69.417473
1.3333369,544.419312,59.999027,147.798889,-12.275455,69.405548
1.3666707,544.406799,59.999023,147.752411,-12.290698,69.393623
