tA,vA,fA,pA,qA,aA
0,545.627197,60.000015,143.983368,-23.911724,69.540466
0.0333333,545.72113,60.00005,143.988464,-24.091703,69.541191
0.0666667,545.721985,60.000126,143.933624,-24.019341,69.543282
0.1,545.627075,60.000221,143.894608,-23.861481,69.54689
0.1333334,545.631714,60.000229,143.912292,-23.90686,69.549606
0.1666667,545.650574,60.000248,143.893127,-23.937391,69.552452
0.2,545.636414,60.00037,143.835938,-23.948322,69.557999
0.2333333,545.618652,60.000443,143.838745,-23.888039,69.564003
0.2666666,545.605896,60.000446,143.857895,-23.881834,69.569275
0.2999999,545.612,60.000465,143.892288,-23.879471,69.574837
0.3333332,545.617981,60.0005,143.921967,-23.920036,69.580994
0.3666665,545.651733,60.000561,143.939072,-23.951574,69.588219
0.3999998,545.630615,60.000599,143.97699,-23.854624,69.595589
0.4333331,545.558167,60.00066,144.00174,-23.752748,69.604034
0.4666664,545.650085,60.000725,144.005096,-23.955835,69.613197
0.4999997,545.621643,60.000771,143.976028,-23.874674,69.62281
0.533333,545.639221,60.000793,144.015198,-23.862587,69.632431
0.5666663,545.688232,60.000813,143.997086,-23.965969,69.642174
0.5999996,545.694885,60.000908,143.958176,-23.966192,69.653893
0.6333329,545.664307,60.001049,143.894943,-23.907171,69.667854
0.6666662,545.639832,60.001091,143.899002,-23.827711,69.681366
0.6999995,545.670349,60.001064,143.912521,-23.891085,69.69355
0.7333328,545.673523,60.001099,143.893723,-23.894564,69.706917
0.7666661,545.651794,60.00116,143.883835,-23.853613,69.721344
0.7999994,545.675598,60.001183,143.896515,-23.911446,69.735611
0.8333327,545.694031,60.001186,143.902374,-23.921608,69.74958
0.866666,545.644958,60.001236,143.915588,-23.796175,69.764778
0.8999993,545.650513,60.001278,143.939072,-23.809084,69.780411
0.9333326,545.662292,60.001308,143.964294,-23.821892,69.796181
0.9666659,545.592163,60.001373,143.962418,-23.687273,69.813179
0.9999992,545.528381,60.001488,143.962936,-23.548048,69.832115
1.0333329,545.580505,60.00164,143.910721,-23.700636,69.853287
1.0666667,545.5896,60.001774,143.841705,-23.707251,69.875801
1.1000005,545.547424,60.001896,143.80452,-23.585737,69.899841
1.1333343,545.553101,60.001949,143.796234,-23.611187,69.923721
1.1666681,545.552917,60.001892,143.841263,-23.61541,69.945671
1.2000018,545.548767,60.001808,143.940262,-23.597258,69.966141
1.2333356,545.541687,60.001766,144.007919,-23.567804,69.986603
1.2666694,545.597107,60.001743,144.092987,-23.63364,70.00705
1.3000032,545.601379,60.00174,144.133163,-23.593136,70.027657
1.3333369,545.559814,60.001781,144.145889,-23.496113,70.049301
1.3666707,545.548279,60.001801,144.16188,-23.444849,70.070946
1.4000045,545.54657,60.001808,144.140747,-23.471876,70.092583
1.4333383,545.619568,60.001823,144.124695,-23.542591,70.114342
1.4666721,545.577637,60.001907,144.025894,-23.400185,70.137924
1.5000058,545.548462,60.001999,143.937683,-23.396152,70.162697
1.5333396,545.565552,60.00206,143.872101,-23.396734,70.18792
1.5666734,545.549683,60.002132,143.798218,-23.393688,70.21405
1.6000072,545.562866,60.002216,143.752975,-23.395926,70.241516
1.633341,545.575562,60.002178,143.772537,-23.380474,70.267075
1.6666747,545.577209,60.002132,143.809265,-23.373728,70.291885
1.7000085,545.567749,60.002121,143.87822,-23.332197,70.316994
1.7333423,545.587402,60.002064,143.970413,-23.346634,70.340912
1.7666761,545.560425,60.001991,144.05864,-23.272671,70.363785
1.8000098,545.579712,60.001957,144.15036,-23.289593,70.38665
1.8333436,545.618591,60.001945,144.216721,-23.296055,70.409645
1.8666774,545.607727,60.001991,144.203232,-23.227421,70.433838
1.9000112,545.55072,60.002083,144.147537,-23.141853,70.459679
1.933345,545.606628,60.002056,144.134613,-23.253731,70.484009
1.9666787,545.631042,60.001995,144.10527,-23.226986,70.506981
2.0000124,545.639832,60.002014,144.051804,-23.189384,70.531151
2.0333452,545.622559,60.002075,143.957077,-23.181377,70.556526
2.066678,545.59668,60.002148,143.889374,-23.088642,70.582954
2.1000109,545.601196,60.002182,143.831497,-23.089867,70.60939
2.1333437,545.606201,60.002235,143.759705,-23.130192,70.636566
2.1666765,545.600708,60.002277,143.744827,-23.097919,70.664215
2.2000093,545.633545,60.002308,143.756454,-23.118593,70.692001
2.2333422,545.612976,60.002365,143.758575,-23.089809,70.720871
2.266675,545.629272,60.002392,143.797058,-23.117825,70.749725
2.3000078,545.583252,60.002407,143.866074,-22.975803,70.778603
2.3333406,545.615723,60.002415,143.945786,-23.06316,70.80748
2.3666735,545.678772,60.002419,143.992752,-23.13755,70.836334
2.4000063,545.664856,60.002422,144.066147,-23.041206,70.865204
2.4333391,545.691956,60.002457,144.097778,-23.064098,70.894791
2.4666719,545.689941,60.002525,144.095459,-23.027506,70.925606
2.5000048,545.709351,60.002579,144.0849,-23.031349,70.957001
2.5333376,545.724915,60.002651,144.042999,-23.021814,70.989449
2.5666704,545.705322,60.002686,144.020081,-22.928833,71.021896
2.6000032,545.688354,60.002705,143.983734,-22.87702,71.054337
2.6333361,545.622803,60.002712,143.948608,-22.782166,71.086807
2.6666689,545.639038,60.002716,143.937714,-22.783373,71.119255
2.7000017,545.680237,60.00272,143.901657,-22.912281,71.151695
2.7333345,545.660522,60.00272,143.902893,-22.781902,71.184158
2.7666674,545.660156,60.00272,143.908249,-22.789446,71.216614
2.8000002,545.721497,60.002712,143.908615,-22.930185,71.248901
2.833333,545.785278,60.002674,143.937302,-22.99119,71.280281
2.8666658,545.725647,60.002735,143.928223,-22.85718,71.313515
2.8999987,545.704529,60.002777,143.966888,-22.782112,71.347183
2.9333315,545.747986,60.002792,143.977356,-22.877981,71.380684
2.9666643,545.820007,60.002754,144.005386,-22.98119,71.413139
2.9999971,545.820374,60.002739,144.018478,-22.899624,71.445595
3.03333,545.741882,60.002766,144.02829,-22.72718,71.478806
3.0666628,545.733276,60.002792,144.042694,-22.734779,71.512459
3.0999956,545.803101,60.00285,144.006134,-22.856615,71.546982
3.1333284,545.771057,60.002937,143.936615,-22.785158,71.583076
3.1666613,545.792847,60.002991,143.89183,-22.855818,71.619492
3.1999941,545.817871,60.002968,143.874847,-22.847239,71.654747
3.2333269,545.769897,60.002953,143.876129,-22.757376,71.689735
3.2666597,545.721985,60.002983,143.867462,-22.661682,71.7257
3.2999926,545.691284,60.002998,143.8806,-22.61808,71.761658
3.3333254,545.767639,60.003006,143.898651,-22.75391,71.797607
3.3666582,545.764893,60.002975,143.895157,-22.751041,71.83287
3.399991,545.678528,60.002949,143.954422,-22.590904,71.867752
3.4333239,545.746338,60.002937,144.014587,-22.697933,71.902626
3.4666567,545.79657,60.00293,144.021912,-22.742838,71.937485
3.4999895,545.735596,60.002956,144.022995,-22.606377,71.973022
3.5333223,545.655762,60.002945,144.049789,-22.480202,72.008163
