tA,vA,fA,pA,qA,aA
0,547.429016,60.000015,140.007813,-29.85441,69.539757
0.0333333,547.42572,60.000015,139.991745,-29.894993,69.539757
0.0666667,547.431458,60.000023,139.993271,-29.894957,69.539902
0.1,547.440491,60.000072,139.960617,-29.92568,69.5411
0.1333334,547.440247,60.000095,139.976395,-29.881981,69.54229
0.1666667,547.436829,60.000107,139.965958,-29.875071,69.543495
0.2,547.433594,60.000111,139.965759,-29.87195,69.544693
0.2333333,547.430359,60.000114,139.965546,-29.868826,69.545906
0.2666666,547.42334,60.000114,139.984756,-29.873096,69.547112
0.2999999,547.41626,60.000118,139.983597,-29.869762,69.548317
0.3333332,547.412903,60.000118,140.008774,-29.829672,69.549522
0.3666665,547.409668,60.000118,140.018753,-29.830351,69.550728
0.3999998,547.40625,60.000118,140.018494,-29.827219,69.551933
0.4333331,547.405884,60.000118,140.039429,-29.831856,69.553131
0.4666664,547.414001,60.000118,140.026917,-29.870123,69.554344
0.4999997,547.428589,60.000118,140.051651,-29.875576,69.555534
0.533333,547.433899,60.000126,140.043533,-29.868788,69.556885
0.5666663,547.439209,60.000172,140.010559,-29.896364,69.559288
0.5999996,547.448059,60.000195,139.988678,-29.927959,69.561684
0.6333329,547.453552,60.000206,139.970963,-29.914804,69.564087
0.6666662,547.457642,60.00021,139.963074,-29.905373,69.566483
0.6999995,547.46167,60.000214,139.965363,-29.899729,69.568886
0.7333328,547.465759,60.000214,139.967651,-29.894072,69.571289
0.7666661,547.471619,60.000217,139.965408,-29.933092,69.573692
0.7999994,547.478333,60.000217,139.978577,-29.931376,69.576103
0.8333327,547.482849,60.000217,139.99118,-29.929537,69.578506
0.866666,547.486633,60.000252,139.978607,-29.962795,69.581665
0.8999993,547.490356,60.000275,139.971191,-29.950794,69.585114
0.9333326,547.500061,60.000248,139.980133,-29.993809,69.587524
0.9666659,547.495056,60.000198,139.994888,-29.948717,69.589172
0.9999992,547.480774,60.000156,140.027435,-29.911781,69.590385
1.0333328,547.476807,60.000137,140.057632,-29.919991,69.591591
1.0666666,547.480286,60.000134,140.074402,-29.876101,69.592949
1.1000004,547.483765,60.000175,140.040985,-29.903625,69.595337
1.1333342,547.487061,60.000202,140.007599,-29.930805,69.597878
1.1666679,547.490479,60.000259,139.9646,-29.951599,69.601479
1.2000017,547.508911,60.00029,139.935608,-29.977026,69.605072
1.2333355,547.528564,60.000301,139.917175,-30.00631,69.608665
1.2666693,547.535339,60.000343,139.885635,-30.029259,69.613029
1.3000031,547.52533,60.000381,139.880356,-29.968611,69.617828
1.3333368,547.516602,60.000401,139.875687,-30.000961,69.622643
1.3666706,547.500488,60.000408,139.914597,-29.910528,69.627457
1.4000044,547.498474,60.000412,139.932037,-29.9508,69.632278
1.4333382,547.501953,60.000416,139.966049,-29.950583,69.637093
1.4666719,547.505554,60.000423,139.985001,-29.990807,69.642052
1.5000057,547.506287,60.000507,139.993668,-29.92975,69.648819
1.5333395,547.498474,60.000607,139.97551,-29.901981,69.656914
1.5666733,547.50061,60.000748,139.920624,-29.947037,69.667274
