tA,vA,fA,pA,qA,aA
0,547.467346,60.000015,150.00798,-1.955559,69.541191
0.0333333,547.455994,60.000023,149.999695,-1.906783,69.541328
0.0666667,547.436646,60.000034,149.984222,-1.902054,69.541656
0.1,547.433472,60.000038,149.993546,-1.905056,69.541962
0.1333334,547.430664,60.000008,150.00296,-1.909881,69.541565
0.1666667,547.428467,59.999969,150.02774,-1.875524,69.540573
0.2,547.428101,59.999954,150.037781,-1.881875,69.539597
0.2333333,547.436584,59.999947,150.035065,-1.928919,69.538658
0.2666666,547.429871,59.999928,150.038193,-1.88758,69.537415
0.2999999,547.427673,59.999901,150.047714,-1.895816,69.535721
0.3333332,547.430664,59.999878,150.048492,-1.900777,69.533829
0.3666665,547.430786,59.99984,150.06366,-1.866603,69.531319
0.3999998,547.424133,59.999809,150.061722,-1.874192,69.528412
0.4333331,547.416626,59.999783,150.05957,-1.882166,69.525352
0.4666664,547.410767,59.999741,150.073074,-1.851312,69.521568
0.4999997,547.403137,59.999702,150.060654,-1.858487,69.517372
0.533333,547.403931,59.999683,150.040344,-1.861975,69.51313
0.5666663,547.420471,59.99968,150.019318,-1.909594,69.509079
0.5999996,547.430054,59.999683,149.991257,-1.908559,69.505119
0.6333329,547.418701,59.999687,149.98288,-1.870425,69.501198
0.6666662,547.407837,59.999664,149.969574,-1.878169,69.496773
0.6999995,547.410461,59.999638,149.980316,-1.894705,69.491905
0.7333328,547.415344,59.999596,149.991653,-1.912954,69.486404
0.7666661,547.420166,59.99955,150.00296,-1.932845,69.48027
0.7999994,547.417358,59.999531,150.017227,-1.908016,69.474182
0.8333327,547.424805,59.999512,150.054688,-1.891283,69.467941
0.866666,547.428894,59.999496,150.045425,-1.904309,69.46151
0.8999993,547.4245,59.999481,150.043991,-1.921599,69.454903
0.9333326,547.411865,59.999443,150.070831,-1.859173,69.447609
0.9666659,547.412659,59.999382,150.065674,-1.925384,69.439346
0.9999992,547.418213,59.99934,150.082214,-1.907316,69.430702
1.0333328,547.420532,59.999313,150.082535,-1.930228,69.421959
1.0666666,547.428833,59.999325,150.079483,-1.90332,69.413773
1.1000004,547.426453,59.999352,150.027649,-1.904392,69.406059
1.1333342,547.428345,59.999378,149.997406,-1.912265,69.398666
1.1666679,547.435547,59.999397,149.958389,-1.915729,69.391502
1.2000017,547.441528,59.999416,149.913925,-1.963388,69.384476
1.2333355,547.44165,59.999416,149.903549,-1.97846,69.377251
1.2666693,547.442444,59.999435,149.893341,-1.992399,69.370461
1.3000031,547.441467,59.999443,149.89801,-1.965515,69.363701
1.3333368,547.441956,59.999451,149.908096,-1.98703,69.356949
1.3666706,547.440857,59.999454,149.927872,-2.012247,69.350243
1.4000044,547.444702,59.999451,149.974579,-2.000829,69.343445
1.4333382,547.446472,59.999439,150.010544,-1.986359,69.336365
1.4666719,547.450134,59.999447,150.031647,-2.011744,69.329597
1.5000057,547.448608,59.999462,150.05658,-1.991791,69.323135
1.5333395,547.43866,59.99947,150.068985,-1.968155,69.316612
1.5666733,547.441772,59.999477,150.069611,-1.984817,69.310249
1.6000071,547.440857,59.999504,150.048798,-1.992558,69.304359
1.6333408,547.432739,59.999538,150.031235,-1.954166,69.299065
1.6666746,547.427673,59.999561,149.983749,-1.996935,69.293861
1.7000084,547.437256,59.999603,149.965881,-2.001194,69.289307
1.7333422,547.451172,59.999645,149.92366,-2.040698,69.285378
1.7666759,547.459656,59.999691,149.89534,-2.038146,69.281952
1.8000097,547.455139,59.999725,149.873642,-2.038579,69.278839
1.8333435,547.442871,59.999741,149.870163,-2.046606,69.275749
1.8666773,547.429199,59.999756,149.881714,-2.013689,69.272758
1.9000111,547.412354,59.999744,149.912704,-1.98954,69.269356
1.9333448,547.399048,59.999722,149.990616,-1.937203,69.265594
1.9666786,547.417725,59.999714,150.020874,-2.003257,69.261818
2.0000124,547.421753,59.999722,150.042206,-2.02013,69.258324
2.0333455,547.423035,59.999741,150.06279,-2.036003,69.255203
2.0666783,547.43042,59.999775,150.069962,-1.998143,69.252663
2.1000111,547.431152,59.999813,150.059921,-1.999486,69.250687
2.1333439,547.438416,59.999836,150.051697,-2.000616,69.248795
2.1666768,547.438965,59.999859,150.031433,-1.997164,69.247169
2.2000096,547.436768,59.999866,149.994995,-2.034585,69.245468
2.2333424,547.43634,59.999847,149.98465,-2.036514,69.243256
2.2666752,547.443909,59.999844,150.002075,-2.001407,69.241135
2.3000081,547.459839,59.999847,149.95517,-2.080231,69.239182
2.3333409,547.462769,59.999832,149.971313,-2.045827,69.236786
2.3666737,547.459106,59.999805,150.005981,-2.020196,69.233978
2.4000065,547.455139,59.999802,149.999527,-2.071691,69.231323
2.4333394,547.449524,59.99979,150.013321,-2.038316,69.228523
2.4666722,547.439758,59.999767,150.036148,-2.010008,69.225258
2.500005,547.451843,59.999744,150.059662,-2.026973,69.221741
2.5333378,547.460876,59.999729,150.061996,-2.036499,69.218117
2.5666707,547.452393,59.999714,150.074982,-2.005772,69.214302
2.6000035,547.44104,59.999687,150.071732,-2.016785,69.210083
2.6333363,547.441895,59.99966,150.077087,-1.984182,69.205528
2.6666691,547.434631,59.999645,150.054581,-1.988606,69.200882
2.700002,547.428528,59.999641,150.047882,-1.952078,69.196342
2.7333348,547.414551,59.999622,150.033707,-1.961175,69.191368
2.7666676,547.413025,59.999611,150.012802,-1.966654,69.186333
2.8000004,547.396667,59.99963,149.967484,-1.962652,69.181931
2.8333333,547.382935,59.999615,149.984329,-1.89047,69.176941
2.8666661,547.378174,59.999592,149.967377,-1.945084,69.171608
2.8999989,547.371765,59.999607,149.970764,-1.913171,69.166779
2.9333317,547.359741,59.999607,149.982773,-1.88518,69.161919
2.9666646,547.359131,59.999569,150.002716,-1.908183,69.15609
2.9999974,547.355591,59.999542,150.027222,-1.887072,69.150101
3.0333302,547.362427,59.999493,150.049194,-1.912629,69.143311
3.066663,547.359802,59.999435,150.08403,-1.899733,69.135666
3.0999959,547.336731,59.99939,150.103088,-1.884001,69.127602
3.1333287,547.328552,59.999329,150.141724,-1.829909,69.11869
3.1666615,547.336609,59.999264,150.16394,-1.863301,69.108917
3.1999943,547.344177,59.999195,150.171036,-1.846714,69.098267
3.2333272,547.338318,59.999126,150.174408,-1.832279,69.086784
3.26666,547.33429,59.999065,150.152618,-1.856247,69.074677
3.2999928,547.332275,59.999001,150.136719,-1.837727,69.06179
3.3333256,547.333862,59.998936,150.116364,-1.865998,69.048035
3.3666584,547.33905,59.998863,150.102417,-1.852033,69.033409
3.3999913,547.336182,59.998787,150.070648,-1.881389,69.017738
3.4333241,547.324463,59.998726,150.067627,-1.830762,69.001579
3.4666569,547.32019,59.99868,150.051071,-1.821858,68.985008
3.4999897,547.322083,59.998642,150.020615,-1.854401,68.968109
3.5333226,547.321716,59.998608,149.989471,-1.888021,68.950798
3.5666554,547.320435,59.998581,149.983887,-1.885607,68.933228
3.5999882,547.324341,59.998562,149.995392,-1.842827,68.915573
3.633321,547.316956,59.998566,149.962341,-1.876702,68.898148
3.6666539,547.307312,59.998558,149.954514,-1.874129,68.880615
3.6999867,547.310181,59.998554,149.970383,-1.879779,68.862961
3.7333195,547.316528,59.99855,149.977112,-1.881465,68.845329
3.7666523,547.32196,59.998562,149.983612,-1.882338,68.828003
3.7999852,547.328735,59.998566,149.974716,-1.923883,68.810646
3.833318,547.328186,59.998573,149.989716,-1.928508,68.793381
3.8666508,547.327454,59.998573,149.994553,-1.929223,68.776115
3.8999836,547.318787,59.998569,150.023071,-1.893595,68.758743
3.9333165,547.318176,59.998543,150.038086,-1.900134,68.740761
3.9666493,547.310364,59.998512,150.051117,-1.907791,68.722351
3.9999821,547.304688,59.998482,150.064728,-1.91632,68.703606
4.0333152,547.309326,59.998436,150.081161,-1.926776,68.684151
4.066648,547.295898,59.998371,150.11412,-1.854792,68.663704
4.0999808,547.281555,59.998302,150.141174,-1.829554,68.642395
4.1333137,547.271667,59.998241,150.143463,-1.842828,68.620346
4.1666465,547.269897,59.998184,150.147995,-1.85761,68.59774
4.1999793,547.262573,59.998116,150.146622,-1.826396,68.574196
4.2333121,547.264709,59.998013,150.142044,-1.84389,68.549042
4.266645,547.270935,59.997917,150.138596,-1.864323,68.522766
4.2999778,547.251587,59.997829,150.123795,-1.838786,68.495522
4.3333106,547.241821,59.997757,150.12178,-1.819047,68.46759
4.3666434,547.243958,59.997692,150.107086,-1.841644,68.438957
4.3999763,547.239014,59.99762,150.096329,-1.822286,68.409355
4.4333091,547.243286,59.997532,150.082214,-1.850496,68.378571
4.4666419,547.236877,59.997471,150.081207,-1.839458,68.347313
4.4999747,547.239258,59.997414,150.066559,-1.870613,68.315399
4.5333076,547.222046,59.99736,150.052551,-1.858743,68.282913
4.5666404,547.221924,59.997322,150.027115,-1.888083,68.25013
4.5999732,547.224609,59.997292,150.028732,-1.881684,68.21711
4.633306,547.213379,59.997261,150.000336,-1.912534,68.183723
4.6666389,547.208008,59.997238,149.999817,-1.907649,68.150108
4.6999717,547.21814,59.99725,149.993546,-1.897482,68.116989
4.7333045,547.244751,59.997292,149.969467,-1.969798,68.08474
4.7666373,547.25061,59.997341,149.92572,-1.98773,68.053185
4.7999701,547.246033,59.997406,149.905518,-1.966896,68.022537
4.833303,547.25946,59.997478,149.867828,-2.028193,67.992889
4.8666358,547.266663,59.997551,149.844772,-2.046734,67.964165
4.8999686,547.277344,59.997597,149.84285,-2.072877,67.935646
4.9333014,547.285461,59.997623,149.860367,-2.106872,67.907257
4.9666343,547.299744,59.997662,149.895996,-2.099255,67.879372
4.9999671,547.303528,59.997726,149.902374,-2.124971,67.852585
5.0332999,547.308716,59.997787,149.929291,-2.156947,67.826538
5.0666327,547.321411,59.997849,149.948257,-2.183028,67.801208
5.0999656,547.328796,59.997875,149.982193,-2.168766,67.775894
5.1332984,547.335022,59.997879,150.035965,-2.163533,67.75029
5.1666312,547.335693,59.997879,150.051651,-2.190543,67.724609
5.199964,547.32666,59.99786,150.107758,-2.142132,67.698547
5.2332969,547.33728,59.997829,150.136246,-2.175622,67.672005
5.2666297,547.335144,59.997787,150.157639,-2.162302,67.644806
5.2999625,547.309448,59.99773,150.179092,-2.106964,67.616676
5.3332953,547.286438,59.997684,150.191315,-2.048407,67.588219
5.3666282,547.285645,59.997646,150.176483,-2.071414,67.559349
5.399961,547.289429,59.997608,150.152893,-2.091518,67.530006
5.4332938,547.291382,59.997581,150.135391,-2.067834,67.500443
5.4666266,547.287354,59.997559,150.072891,-2.120633,67.470749
5.4999595,547.286438,59.997528,150.027969,-2.134665,67.440498
5.5332923,547.271912,59.997501,150.012695,-2.068897,67.410019
5.5666251,547.254883,59.997471,150.000214,-2.052724,67.379112
5.5999579,547.245667,59.997402,149.98317,-2.08388,67.347061
5.6332908,547.23938,59.997314,150.013748,-2.091138,67.313629
5.6666236,547.231873,59.997208,150.053986,-2.106405,67.278748
5.6999564,547.234619,59.997112,150.123932,-2.08871,67.242783
5.7332892,547.257324,59.99704,150.145645,-2.144518,67.206207
5.7666221,547.256226,59.996986,150.157639,-2.152902,67.169197
5.7999549,547.247803,59.996948,150.18457,-2.121736,67.131981
5.8332877,547.258484,59.996922,150.162949,-2.163002,67.094505
5.8666205,547.257507,59.996891,150.145035,-2.161018,67.056618
5.8999534,547.252686,59.996853,150.11615,-2.15589,67.018288
5.9332862,547.254517,59.996799,150.109131,-2.161639,66.979042
5.966619,547.249939,59.996716,150.100372,-2.170612,66.93856
5.9999518,547.244812,59.996632,150.081467,-2.178194,66.896973
