tA,vA,fA,pA,qA,aA
0,539.269592,60.000015,567.981384,-7.169461,69.6036
0.0333333,539.257629,60.000015,567.973755,-7.125367,69.603607
0.0666667,539.265198,60.000023,567.976868,-7.167965,69.603745
0.1,539.280701,60.00008,567.958252,-7.187589,69.605087
0.1333334,539.279785,60.000195,567.88739,-7.128362,69.608421
0.1666667,539.273254,60.000305,567.785828,-7.091152,69.613213
0.2,539.285645,60.00037,567.794678,-7.086115,69.618164
0.2333333,539.282471,60.000443,567.812073,-7.033854,69.624184
0.2666666,539.276428,60.000488,567.831726,-7.027792,69.630356
0.2999999,539.283997,60.000553,567.896057,-7.02259,69.637573
0.3333332,539.291504,60.000595,567.960205,-7.015932,69.644943
0.3666665,539.29895,60.000656,567.979553,-7.027838,69.653358
0.3999998,539.309021,60.000687,567.976624,-7.07631,69.661774
0.4333331,539.315552,60.000736,567.964844,-7.069755,69.670929
0.4666664,539.309265,60.000778,567.919617,-7.051106,69.680534
0.4999997,539.32428,60.000797,567.932129,-7.091452,69.690155
0.533333,539.346375,60.000816,567.962341,-7.134268,69.699898
0.5666663,539.341614,60.000866,567.918823,-7.103638,69.710716
0.5999996,539.327942,60.000893,567.896057,-7.084033,69.721542
0.6333329,539.345032,60.000912,567.931274,-7.118499,69.732506
0.6666662,539.328247,60.000965,567.910278,-7.042959,69.744537
0.6999995,539.288879,60.000992,567.920532,-6.941632,69.756577
0.7333328,539.336914,60.001007,568.029175,-7.072312,69.7686
0.7666661,539.351196,60.001049,568.026855,-7.121588,69.78138
0.7999994,539.350403,60.001083,567.983093,-7.111269,69.794586
0.8333327,539.350403,60.001106,567.940369,-7.099564,69.807938
0.866666,539.345764,60.001163,567.882751,-7.073519,69.822365
0.8999993,539.329956,60.00119,567.86853,-7.021853,69.8368
0.9333326,539.346191,60.001205,567.908813,-7.069559,69.851219
0.9666659,539.362549,60.001213,567.974121,-7.080682,69.865654
0.9999992,539.357056,60.001259,567.956177,-7.06049,69.880981
1.0333329,539.344299,60.001339,567.900635,-7.014245,69.897812
1.0666667,539.337036,60.001381,567.891052,-6.982806,69.914642
1.1000005,539.34613,60.001408,567.924377,-7.005084,69.931618
1.1333343,539.349731,60.001499,567.911926,-6.994717,69.950401
1.1666681,539.355713,60.001526,567.917419,-7.038713,69.96888
1.2000018,539.305298,60.001522,567.916931,-6.87746,69.986931
1.2333356,539.288147,60.001522,567.992615,-6.822803,70.004982
1.2666694,539.285339,60.001522,568.064087,-6.852546,70.023033
1.3000032,539.289917,60.001522,568.113159,-6.87141,70.041084
1.3333369,539.300537,60.001518,568.118469,-6.872252,70.059105
1.3666707,539.264954,60.001511,568.043762,-6.771431,70.076988
1.4000045,539.243286,60.001465,568.023987,-6.695725,70.093834
1.4333383,539.263611,60.001442,568.044983,-6.756218,70.110657
1.4666721,539.268982,60.001465,567.994324,-6.743268,70.128227
1.5000058,539.229065,60.00145,567.919617,-6.606026,70.145348
1.5333396,539.207764,60.001343,567.984985,-6.536186,70.160103
1.5666734,539.192749,60.001232,568.087219,-6.492151,70.173363
1.6000072,539.173462,60.001167,568.130066,-6.475481,70.186447
1.633341,539.141724,60.001087,568.168457,-6.382577,70.198349
1.6666747,539.140015,60.000992,568.209351,-6.382664,70.209023
1.7000085,539.146851,60.000904,568.214478,-6.422781,70.218643
1.7333423,539.136658,60.000828,568.1745,-6.32396,70.227501
1.7666761,539.090454,60.000763,568.060547,-6.172261,70.235756
1.8000098,539.091919,60.000683,568.054077,-6.190159,70.242821
1.8333436,539.101501,60.000565,568.094971,-6.148984,70.248077
1.8666774,539.079163,60.000492,568.051758,-6.093764,70.252892
1.9000112,539.064087,60.000374,568.06073,-6.025567,70.25605
1.933345,539.101257,60.000217,568.171814,-6.136865,70.256645
1.9666787,539.093323,60.00021,568.107605,-6.050255,70.258751
2.0000124,539.070313,60.000221,567.977173,-5.939423,70.261459
2.0333452,539.075378,60.000126,567.962341,-5.929259,70.261765
2.066678,539.089661,60.000065,567.997559,-5.939266,70.261497
2.1000109,539.068542,60.000118,567.899109,-5.848493,70.263283
2.1333437,539.078552,60.00008,567.924255,-5.803824,70.263733
