tA,vA,fA,pA,qA,aA
0,542.296814,60.000015,576.966064,-9.177189,69.603981
0.0333333,542.298645,60.000053,576.973083,-9.125546,69.604729
0.0666667,542.30072,60.000092,576.930237,-9.141175,69.606071
0.1,542.303284,60.000156,576.893005,-9.102073,69.608467
0.1333334,542.306335,60.000195,576.871521,-9.112871,69.611038
0.1666667,542.30957,60.000256,576.840271,-9.109665,69.614632
0.2,542.3125,60.000294,576.843994,-9.071924,69.618378
0.2333333,542.315735,60.000355,576.848206,-9.02357,69.623192
0.2666666,542.312256,60.000397,576.840393,-9.017734,69.628151
0.2999999,542.306702,60.000458,576.845581,-8.960867,69.634155
0.3333332,542.30127,60.000496,576.845947,-8.946761,69.640312
0.3666665,542.311218,60.000557,576.85791,-8.966374,69.647522
0.3999998,542.327942,60.000587,576.867065,-8.982402,69.654732
0.4333331,542.33374,60.000603,576.869507,-8.95405,69.661942
0.4666664,542.339417,60.00061,576.841858,-9.006588,69.669151
0.4999997,542.345398,60.000614,576.83429,-8.974565,69.676353
0.533333,542.35144,60.000614,576.822083,-8.986657,69.683563
0.5666663,542.362305,60.000618,576.804932,-8.995184,69.690765
0.5999996,542.382019,60.000618,576.792114,-9.048038,69.697968
0.6333329,542.390198,60.000618,576.772095,-9.056511,69.70517
0.6666662,542.395264,60.000607,576.728455,-9.059087,69.712212
0.6999995,542.403259,60.000572,576.743286,-9.045066,69.718376
0.7333328,542.420593,60.000595,576.703003,-9.134607,69.725578
0.7666661,542.432007,60.000607,576.66626,-9.135739,69.73278
0.7999994,542.425293,60.00061,576.625122,-9.0961,69.739983
0.8333327,542.440369,60.000614,576.652832,-9.119626,69.747192
0.866666,542.433411,60.000618,576.626892,-9.131519,69.754402
0.8999993,542.424927,60.000618,576.644592,-9.114077,69.761627
0.9333326,542.418396,60.000618,576.664368,-9.096652,69.768845
0.9666659,542.40033,60.000618,576.661621,-9.075314,69.776062
0.9999992,542.378418,60.000618,576.669861,-9.013432,69.783287
1.0333329,542.361877,60.000618,576.678894,-8.995787,69.790512
1.0666667,542.353088,60.000618,576.686218,-8.974569,69.797737
1.1000005,542.335876,60.000618,576.664246,-8.945843,69.804947
1.1333343,542.318848,60.000618,576.647217,-8.872967,69.812157
1.1666681,542.322388,60.000584,576.652649,-8.900187,69.818611
1.2000018,542.325989,60.000557,576.642517,-8.87875,69.824768
1.2333356,542.329407,60.000587,576.577148,-8.872388,69.831963
1.2666694,542.332886,60.000603,576.521851,-8.869817,69.839157
1.3000032,542.336609,60.00061,576.466797,-8.867209,69.846359
1.3333369,542.329895,60.000614,576.445984,-8.835009,69.853569
1.3666707,542.315369,60.000614,576.441833,-8.765893,69.860794
1.4000045,542.31543,60.000618,576.478699,-8.752232,69.868011
1.4333383,542.325012,60.000618,576.525757,-8.738776,69.875229
1.4666721,542.322327,60.000618,576.524658,-8.758206,69.882446
1.5000058,542.315674,60.000618,576.524109,-8.73337,69.889664
1.5333396,542.313049,60.000618,576.537964,-8.712317,69.896873
1.5666734,542.322266,60.000584,576.559692,-8.743332,69.90332
1.6000072,542.319519,60.000549,576.552917,-8.726984,69.909332
1.633341,542.316406,60.0005,576.531006,-8.758683,69.914589
1.6666747,542.324036,60.000458,576.510132,-8.791445,69.919395
1.7000085,542.34259,60.000439,576.501099,-8.82446,69.924187
1.7333423,542.358643,60.000427,576.458923,-8.846394,69.928978
1.7666761,542.365173,60.00042,576.396545,-8.864481,69.933762
1.8000098,542.369629,60.00042,576.33197,-8.882505,69.938568
1.8333436,542.37384,60.00042,576.322388,-8.874764,69.943367
1.8666774,542.38269,60.000416,576.348145,-8.878139,69.948174
1.9000112,542.402466,60.000416,576.355896,-8.962698,69.95298
1.933345,542.411194,60.000416,576.376892,-9.010211,69.957787
1.9666787,542.414551,60.000416,576.376648,-9.006107,69.962593
2.0000124,542.41803,60.000416,576.361633,-9.04251,69.9674
2.0333452,542.422058,60.000423,576.357422,-9.081158,69.972351
2.066678,542.428345,60.000473,576.310608,-9.138688,69.978355
2.1000109,542.436768,60.000496,576.301208,-9.163151,69.98436
2.1333437,542.445984,60.000507,576.312744,-9.194963,69.990364
2.1666765,542.440857,60.000546,576.289001,-9.211586,69.997124
2.2000093,542.435547,60.000584,576.285461,-9.231013,70.004333
2.2333422,542.430237,60.000607,576.291992,-9.252627,70.011696
2.266675,542.419678,60.000664,576.28302,-9.25984,70.020119
2.3000078,542.42749,60.00069,576.323975,-9.278414,70.028542
2.3333406,542.431885,60.000706,576.336609,-9.333764,70.036957
2.3666735,542.434998,60.00071,576.352295,-9.344952,70.045372
2.4000063,542.438232,60.000713,576.363647,-9.400294,70.053787
2.4333391,542.441284,60.000751,576.324402,-9.42979,70.062943
2.4666719,542.434204,60.00082,576.268799,-9.399236,70.073296
2.5000048,542.427002,60.000877,576.208801,-9.406784,70.084259
2.5333376,542.420837,60.000946,576.150024,-9.403796,70.096275
2.5666704,542.414429,60.001019,576.146423,-9.367384,70.109039
2.6000032,542.407349,60.001076,576.157837,-9.376295,70.122421
2.6333361,542.399292,60.001148,576.183167,-9.334068,70.136856
2.6666689,542.391541,60.001221,576.198792,-9.280651,70.152039
2.7000017,542.394165,60.001278,576.216614,-9.309771,70.167816
2.7333345,542.396729,60.00135,576.199585,-9.361616,70.184647
2.7666674,542.39917,60.001419,576.191711,-9.317758,70.202202
2.8000002,542.401794,60.001476,576.154846,-9.348861,70.220367
2.833333,542.395935,60.001549,576.128357,-9.284384,70.239594
2.8666658,542.390137,60.001617,576.107666,-9.260187,70.259583
2.8999987,542.3927,60.001705,576.071472,-9.261213,70.280746
2.9333315,542.395203,60.00177,576.080444,-9.226521,70.302513
2.9666643,542.397766,60.00185,576.085205,-9.223978,70.325485
2.9999971,542.400269,60.001938,576.070007,-9.203391,70.349518
3.03333,542.402771,60.00198,576.085266,-9.19365,70.373566
3.0666628,542.3927,60.001999,576.08728,-9.183663,70.397614
3.0999956,542.383606,60.00201,576.135376,-9.143801,70.421669
3.1333284,542.381592,60.002014,576.176575,-9.144658,70.445724
3.1666613,542.394592,60.002018,576.233887,-9.145833,70.469765
3.1999941,542.405151,60.002018,576.219177,-9.213894,70.493805
