tA,vA,fA,pA,qA,aA
0,543.531372,60.000015,574.968933,-13.181539,69.60331
0.0333333,543.625244,60.00005,575.028687,-13.438435,69.604027
0.0666667,543.626038,60.000126,574.898438,-13.368745,69.606094
0.1,543.53125,60.000221,574.677002,-13.100619,69.609695
0.1333334,543.536011,60.000229,574.763611,-13.103483,69.612419
0.1666667,543.554932,60.000252,574.905762,-13.120243,69.615295
0.2,543.540771,60.00037,574.912415,-13.071566,69.620857
0.2333333,543.522888,60.000443,574.900024,-13.058761,69.626877
0.2666666,543.510315,60.000446,574.968872,-13.035594,69.632156
0.2999999,543.516357,60.000469,575.047424,-13.006149,69.637726
0.3333332,543.5224,60.0005,575.045471,-13.033051,69.643875
0.3666665,543.556091,60.000557,575.022583,-13.12361,69.651077
0.3999998,543.535034,60.000595,574.920959,-13.019326,69.658424
0.4333331,543.462646,60.000656,574.775085,-12.814567,69.666847
0.4666664,543.554749,60.000721,574.885803,-13.005453,69.676003
0.4999997,543.526245,60.000771,574.832336,-12.852779,69.685616
0.533333,543.543945,60.000793,574.858887,-12.897015,69.695236
0.5666663,543.592896,60.000813,574.908752,-13.02914,69.704979
0.5999996,543.599548,60.000908,574.833008,-13.018483,69.71669
0.6333329,543.569092,60.001049,574.687683,-12.880855,69.730644
0.6666662,543.544617,60.001091,574.695251,-12.75582,69.744164
0.6999995,543.575195,60.001064,574.857666,-12.81929,69.756363
0.7333328,543.578369,60.001099,574.910461,-12.840235,69.76976
0.7666661,543.556641,60.00116,574.906128,-12.746596,69.784187
0.7999994,543.580383,60.001183,574.930786,-12.832844,69.798462
0.8333327,543.598877,60.001183,574.954651,-12.877701,69.812416
0.866666,543.549744,60.001236,574.855347,-12.705594,69.827606
0.8999993,543.555359,60.001278,574.835632,-12.722364,69.843224
0.9333326,543.5672,60.001305,574.852966,-12.748927,69.858994
0.9666659,543.49707,60.001373,574.761597,-12.477155,69.875992
0.9999992,543.433411,60.001492,574.708435,-12.28935,69.894936
1.0333328,543.485718,60.00164,574.800964,-12.365932,69.916115
1.0666666,543.494873,60.001774,574.786682,-12.313499,69.938652
1.1000004,543.452942,60.001896,574.707642,-12.148784,69.962692
1.1333342,543.458618,60.001949,574.750977,-12.104795,69.986588
1.1666679,543.458496,60.001892,574.858704,-12.10592,70.008553
1.2000017,543.454285,60.001808,575.011719,-12.047999,70.029022
1.2333355,543.447266,60.001762,575.065796,-12.001213,70.049477
1.2666693,543.502625,60.00174,575.112366,-12.159098,70.069901
1.3000031,543.506836,60.001736,574.996826,-12.137515,70.090454
1.3333368,543.465393,60.001778,574.781372,-11.993737,70.112076
1.3666706,543.453735,60.001797,574.699097,-11.887409,70.133698
1.4000044,543.452271,60.001808,574.708801,-11.810567,70.155334
1.4333382,543.525269,60.001823,574.805298,-11.966427,70.177101
1.4666719,543.483459,60.001907,574.7005,-11.751146,70.200699
1.5000057,543.454346,60.001999,574.641113,-11.62741,70.225502
1.5333395,543.471497,60.00206,574.688538,-11.658593,70.250748
1.5666733,543.45575,60.002132,574.72937,-11.506334,70.276909
1.6000071,543.469116,60.00222,574.763245,-11.51118,70.304405
1.6333408,543.48175,60.002178,574.846985,-11.553535,70.329971
1.6666746,543.483521,60.002136,574.927856,-11.514473,70.354782
1.7000084,543.473877,60.002121,574.921326,-11.491328,70.379875
