tA,vA,fA,pA,qA,aA
0,547.470764,60.000015,568.988342,0.920259,69.601257
0.0333333,547.467468,60.000015,568.984924,0.920248,69.601257
0.0666667,547.473145,60.000023,568.975647,0.880852,69.601402
0.1,547.482117,60.000069,568.954346,0.90409,69.602592
0.1333334,547.481934,60.000092,568.923584,0.927353,69.603783
0.1666667,547.478638,60.000107,568.920166,0.939267,69.604988
0.2,547.475281,60.000111,568.937073,0.943653,69.606194
0.2333333,547.472046,60.000114,568.964294,0.944285,69.607407
0.2666666,547.465088,60.000114,568.98761,0.944944,69.608612
0.2999999,547.458008,60.000118,569.010803,0.945577,69.609825
0.3333332,547.454712,60.000118,569.027649,0.95,69.611031
0.3666665,547.451416,60.000118,569.024231,0.961954,69.612244
0.3999998,547.447998,60.000118,569.010498,0.97764,69.613434
0.4333331,547.447632,60.000118,568.989746,0.99713,69.614639
0.4666664,547.455811,60.000118,568.993164,0.964446,69.615829
0.4999997,547.470337,60.000118,568.993164,0.935565,69.617027
0.533333,547.475708,60.000126,568.963135,0.915666,69.61837
0.5666663,547.481018,60.000172,568.927795,0.954634,69.620766
0.5999996,547.489746,60.000195,568.896362,0.900647,69.623161
0.6333329,547.495361,60.000206,568.902222,0.924552,69.625565
0.6666662,547.499329,60.00021,568.926758,0.940837,69.627968
0.6999995,547.503479,60.000214,568.961548,0.953416,69.630379
0.7333328,547.507446,60.000217,568.976074,0.880608,69.632782
0.7666661,547.513367,60.000217,568.997742,0.852376,69.635193
0.7999994,547.52002,60.000217,568.999695,0.831653,69.637604
0.8333327,547.524475,60.000217,569.024597,0.847982,69.639999
0.866666,547.528259,60.000252,568.988037,0.801512,69.64315
0.8999993,547.532104,60.000275,568.95636,0.802461,69.646599
0.9333326,547.541626,60.000248,568.966614,0.73338,69.649002
0.9666659,547.53656,60.000198,568.981812,0.742211,69.65065
0.9999992,547.522217,60.000156,569.012573,0.783696,69.651863
1.0333329,547.518188,60.000137,569.034058,0.73978,69.653069
1.0666667,547.521606,60.000134,569.057983,0.745592,69.654427
1.1000005,547.525024,60.000175,568.990479,0.702863,69.656815
1.1333343,547.528442,60.000202,568.948242,0.698609,69.659348
1.1666681,547.53186,60.000259,568.895752,0.708678,69.662949
1.2000018,547.550232,60.00029,568.884583,0.662808,69.666542
1.2333356,547.569885,60.000301,568.895142,0.609384,69.670143
1.2666694,547.57666,60.000343,568.861694,0.574794,69.6745
1.3000032,547.566711,60.000381,568.841064,0.626296,69.679306
1.3333369,547.557922,60.000401,568.882935,0.655271,69.684128
1.3666707,547.541748,60.000408,568.9375,0.676746,69.688957
1.4000045,547.539734,60.000416,569.012024,0.649855,69.693779
1.4333383,547.543213,60.000416,569.056885,0.589718,69.698601
1.4666721,547.546692,60.000423,569.071045,0.5422,69.703552
1.5000058,547.547363,60.000507,569.000671,0.542635,69.710304
1.5333396,547.539612,60.000603,568.906006,0.608484,69.718384
1.5666734,547.541809,60.000748,568.791504,0.615237,69.728737
1.6000072,547.547607,60.000839,568.746826,0.649904,69.739693
1.633341,547.553162,60.000931,568.752991,0.67632,69.751717
1.6666747,547.564026,60.000973,568.810852,0.639393,69.763748
1.7000085,547.573853,60.001007,568.903137,0.637372,69.77594
1.7333423,547.577942,60.001064,568.943787,0.616222,69.789177
1.7666761,547.583008,60.001091,568.970398,0.554169,69.802399
1.8000098,547.591553,60.001114,569.015869,0.53446,69.815781
1.8333436,547.590454,60.001167,568.974854,0.506831,69.830208
1.8666774,547.585999,60.001194,568.970947,0.557101,69.844627
1.9000112,547.576599,60.00124,568.93634,0.57719,69.859756
1.933345,547.580627,60.001274,568.921326,0.552822,69.875267
1.9666787,547.588074,60.001293,568.930359,0.521005,69.890785
2.0000124,547.57782,60.001339,568.915466,0.54581,69.907135
2.0333452,547.579956,60.001381,568.923828,0.571619,69.923965
2.066678,547.586243,60.0014,568.942078,0.549124,69.940796
2.1000109,547.590149,60.001446,568.937378,0.541504,69.958374
2.1333437,547.593262,60.00148,568.921631,0.542058,69.976402
2.1666765,547.596313,60.001511,568.926453,0.536678,69.994583
2.2000093,547.601013,60.001564,568.922729,0.545454,70.013809
2.2333422,547.610168,60.001591,568.939514,0.50221,70.033043
2.266675,547.620056,60.001614,568.94696,0.463932,70.052406
2.3000078,547.635254,60.001663,568.924622,0.401732,70.072723
2.3333406,547.657837,60.001686,568.925049,0.38033,70.093048
2.3666735,547.664612,60.001705,568.908997,0.360591,70.113525
2.4000063,547.658081,60.001762,568.873596,0.400543,70.135162
2.4333391,547.664063,60.001793,568.872803,0.340183,70.156799
2.4666719,547.667358,60.001797,568.894409,0.315564,70.178276
2.5000048,547.662964,60.001755,568.963806,0.305884,70.198631
2.5333376,547.658752,60.001701,569.023254,0.293254,70.218307
2.5666704,547.654358,60.001659,569.092834,0.272734,70.237549
2.6000032,547.64978,60.001671,569.075928,0.243794,70.257484
2.6333361,547.645447,60.00169,569.028503,0.22973,70.277802
2.6666689,547.639038,60.001709,568.958557,0.224587,70.298279
2.7000017,547.631653,60.001766,568.902466,0.27176,70.319908
2.7333345,547.639954,60.001793,568.888977,0.263305,70.341537
