tA,vA,fA,pA,qA,aA
0,535.249451,60.000015,571.972412,-7.160293,69.605469
0.0333333,535.231384,60.000015,571.972839,-7.076568,69.605476
0.0666667,535.221069,60.000019,571.976624,-7.036505,69.605484
0.1,535.210815,60.000027,571.990417,-6.998645,69.605637
0.1333334,535.200623,60.000114,571.939941,-6.962791,69.607735
0.1666667,535.195251,60.000252,571.860046,-6.936872,69.612091
0.2,535.204529,60.00037,571.81604,-6.906719,69.617638
0.2333333,535.205017,60.000435,571.8172,-6.848254,69.623497
0.2666666,535.178955,60.000427,571.869446,-6.738467,69.628326
0.2999999,535.152954,60.000389,571.956665,-6.694442,69.632416
0.3333332,535.130371,60.000355,572.082092,-6.622441,69.636055
0.3666665,535.108826,60.000328,572.153931,-6.577068,69.639549
0.3999998,535.087158,60.000275,572.23053,-6.498631,69.641983
0.4333331,535.075012,60.000244,572.227783,-6.478122,69.644394
0.4666664,535.066101,60.000225,572.188599,-6.444454,69.646645
0.4999997,535.057312,60.000168,572.129395,-6.413871,69.647842
0.533333,535.048462,60.000134,572.080017,-6.297744,69.648888
0.5666663,535.039673,60.000076,572.04541,-6.243065,69.64888
0.5999996,535.037292,60.000011,572.012878,-6.239463,69.648125
0.6333329,535.03717,59.99992,572.042114,-6.180512,69.646042
0.6666662,535.036865,59.999809,572.090881,-6.145593,69.642296
0.6999995,535.036682,59.999672,572.149536,-6.133443,69.636635
0.7333328,535.028198,59.999542,572.169312,-6.12549,69.62944
0.7666661,535.020935,59.999443,572.175293,-6.074321,69.621468
0.7999994,535.019836,59.999344,572.177673,-6.031473,69.612305
0.8333327,535.000427,59.999279,572.110657,-5.974455,69.602676
0.866666,535.00238,59.999214,572.086548,-5.93211,69.592354
0.8999993,535.011719,59.999168,572.045288,-5.929884,69.581627
0.9333326,535.020813,59.999146,571.99884,-5.880465,69.570908
0.9666659,535.03009,59.999142,571.947632,-5.873266,69.560303
0.9999992,535.039246,59.999187,571.876648,-5.847462,69.550827
1.0333329,535.05426,59.99926,571.821899,-5.813499,69.542542
1.0666667,535.049255,59.999344,571.750854,-5.723591,69.535469
1.1000005,535.052979,59.999474,571.714355,-5.668631,69.530396
1.1333343,535.059143,59.999603,571.71051,-5.608672,69.526932
1.1666681,535.071228,59.999756,571.72821,-5.580179,69.525436
1.2000018,535.102844,59.999928,571.737305,-5.607832,69.526314
1.2333356,535.071716,60.00008,571.723877,-5.407725,69.528877
1.2666694,535.070374,60.000244,571.747803,-5.326502,69.533394
1.3000032,535.071899,60.000458,571.735168,-5.289909,69.541054
1.3333369,535.070984,60.000725,571.680481,-5.200955,69.552475
1.3666707,535.048218,60.00098,571.627625,-5.044255,69.567047
1.4000045,535.061523,60.00116,571.688232,-4.949033,69.582825
