tA,vA,fA,pA,qA,aA
0,545.619263,60.000015,571.983765,-29.169182,69.602234
0.0333333,545.652344,59.999985,572.028564,-29.274559,69.601517
0.0666667,545.54248,59.999989,571.917419,-28.950401,69.601112
0.1,545.519043,60.000011,571.948608,-28.92197,69.601288
0.1333334,545.542053,60.000057,572.019165,-28.97599,69.602333
0.1666667,545.614502,60.000031,572.161377,-29.144653,69.602203
0.2,545.641113,59.999973,572.128052,-29.22773,69.601028
0.2333333,545.566528,59.999912,571.987366,-29.034843,69.599129
0.2666666,545.536377,59.999866,571.964539,-28.967772,69.596786
0.2999999,545.52063,59.999844,571.997314,-28.916544,69.594444
0.3333332,545.540649,59.999874,572.037964,-28.939768,69.592987
0.3666665,545.546387,59.999905,572.002869,-28.933779,69.592102
0.3999998,545.567627,59.999828,572.028809,-29.014191,69.588989
0.4333331,545.512939,59.999783,571.984375,-28.819271,69.585602
0.4666664,545.458801,59.999802,571.946289,-28.662178,69.58326
0.4999997,545.495117,59.999847,572.019165,-28.739653,69.581657
0.533333,545.489502,59.999886,571.987244,-28.695084,69.580498
0.5666663,545.478699,59.999935,571.965332,-28.602425,69.58007
0.5999996,545.508667,59.999977,571.961365,-28.637165,69.580063
0.6333329,545.524109,60.000031,571.92218,-28.656164,69.580795
0.6666662,545.534912,60.000111,571.858337,-28.655153,69.582748
0.6999995,545.545654,60.000198,571.810181,-28.601507,69.585907
0.7333328,545.582764,60.000259,571.820679,-28.64888,69.5895
0.7666661,545.633484,60.000286,571.860779,-28.748941,69.593094
0.7999994,545.570984,60.000301,571.806763,-28.528053,69.596718
0.8333327,545.578796,60.000271,571.912964,-28.583054,69.59948
0.866666,545.61438,60.000195,572.08313,-28.714422,69.600708
0.8999993,545.685303,60.000191,572.189514,-28.895288,69.602661
0.9333326,545.722351,60.00021,572.108276,-29.011799,69.605202
0.9666659,545.739136,60.000271,571.940063,-29.044727,69.60891
0.9999992,545.683533,60.000393,571.686462,-28.863638,69.614738
1.0333329,545.729309,60.000557,571.632629,-28.974226,69.623138
1.0666667,545.817993,60.000645,571.700317,-29.160339,69.631676
1.1000005,545.749695,60.00074,571.617981,-28.914505,69.641457
1.1333343,545.670532,60.00079,571.666504,-28.719172,69.651413
1.1666681,545.747681,60.000721,572.026855,-29.025702,69.659149
1.2000018,545.761536,60.000725,572.188354,-29.088678,69.667473
1.2333356,545.721497,60.000786,572.146545,-29.030344,69.677559
1.2666694,545.694519,60.000759,572.112915,-29.030502,69.686302
1.3000032,545.617493,60.000683,572.101257,-28.841114,69.69339
1.3333369,545.595703,60.000591,572.193176,-28.822529,69.69928
1.3666707,545.614868,60.0005,572.272278,-28.936296,69.703972
1.4000045,545.591431,60.000374,572.269348,-28.913752,69.706856
1.4333383,545.647156,60.000217,572.303833,-29.131327,69.707611
1.4666721,545.702881,60.000023,572.316101,-29.277191,69.705521
1.5000058,545.722961,59.999905,572.168518,-29.383669,69.702675
1.5333396,545.657654,59.999897,571.880005,-29.176712,69.701035
1.5666734,545.577087,59.999874,571.717346,-28.931713,69.69912
1.6000072,545.564026,59.999813,571.803406,-28.906763,69.696037
1.633341,545.569641,59.999775,571.969788,-28.908276,69.692673
1.6666747,545.470825,59.999756,571.995056,-28.613626,69.689453
1.7000085,545.479492,59.999645,572.194458,-28.741905,69.683815
1.7333423,545.523438,59.999542,572.364258,-28.907436,69.676819
1.7666761,545.52533,59.999531,572.307129,-28.900238,69.670845
1.8000098,545.506592,59.999516,572.136902,-28.859619,69.664711
1.8333436,545.574463,59.999432,572.103149,-29.090237,69.656746
1.8666774,545.58905,59.999382,571.976746,-29.076157,69.648499
1.9000112,545.533142,59.99942,571.766602,-28.854298,69.641762
1.933345,545.582214,59.999325,571.838928,-29.005184,69.632484
1.9666787,545.611023,59.999229,571.929626,-29.090897,69.621872
2.0000124,545.62085,59.999233,571.945129,-29.09656,69.61245
2.0333452,545.672424,59.999241,571.979309,-29.231258,69.60331
2.066678,545.709595,59.999203,571.977722,-29.368042,69.593124
2.1000109,545.485657,59.999222,571.700928,-28.741831,69.583748
2.1333437,545.458069,59.999264,571.850159,-28.707821,69.575272
2.1666765,545.595642,59.999241,572.198303,-29.11957,69.565712
2.2000093,545.643311,59.999237,572.248718,-29.264427,69.556297
2.2333422,545.680359,59.999313,572.100952,-29.367435,69.548622
2.266675,545.685303,59.999363,571.884033,-29.404551,69.54142
2.3000078,545.713623,59.99939,571.752625,-29.465508,69.534218
2.3333406,545.637146,59.999397,571.642944,-29.200537,69.526917
2.3666735,545.60614,59.999317,571.757813,-29.162657,69.517685
2.4000063,545.680786,59.999184,572.089172,-29.424444,69.506195
2.4333391,545.669922,59.999096,572.218689,-29.460621,69.49411
2.4666719,545.640564,59.999008,572.252136,-29.431742,69.480957
2.5000048,545.583191,59.998955,572.190063,-29.331919,69.467644
2.5333376,545.609314,59.998878,572.22522,-29.530436,69.453125
2.5666704,545.657471,59.998798,572.237244,-29.677408,69.437523
2.6000032,545.632019,59.998722,572.110718,-29.619768,69.421173
2.6333361,545.606873,59.998634,572.004395,-29.581621,69.403625
2.6666689,545.497437,59.998611,571.855774,-29.321278,69.386414
2.7000017,545.572632,59.998615,571.991943,-29.563969,69.369629
2.7333345,545.608521,59.998623,572.021118,-29.639366,69.353004
2.7666674,545.592285,59.998672,571.909973,-29.622728,69.33741
2.8000002,545.729004,59.99873,571.958862,-29.977757,69.322525
2.833333,545.685913,59.998806,571.755127,-29.776361,69.308868
2.8666658,545.626343,59.998898,571.600647,-29.632998,69.29644
2.8999987,545.658447,59.998993,571.664124,-29.713791,69.285217
2.9333315,545.537048,59.999084,571.64978,-29.34292,69.275093
2.9666643,545.503601,59.999062,571.893433,-29.286612,69.263481
2.9999971,545.498535,59.998966,572.205994,-29.360857,69.249779
3.03333,545.563538,59.998978,572.414612,-29.590342,69.237366
3.0666628,545.654297,59.999031,572.396667,-29.899035,69.226097
3.0999956,545.66156,59.999107,572.105042,-29.888618,69.216011
3.1333284,545.552185,59.999161,571.71814,-29.552387,69.206413
3.1666613,545.48468,59.999226,571.583252,-29.335817,69.197594
3.1999941,545.60553,59.999271,571.796021,-29.645723,69.189224
3.2333269,545.66394,59.99926,571.903198,-29.759184,69.180107
3.2666597,545.65918,59.999241,571.91925,-29.725021,69.170547
3.2999926,545.653687,59.999229,571.919067,-29.731359,69.160988
3.3333254,545.599609,59.999226,571.904175,-29.609447,69.151451
3.3666582,545.677612,59.999256,572.036438,-29.861971,69.142624
3.399991,545.640564,59.99929,571.973938,-29.750401,69.134262
3.4333239,545.535889,59.999298,571.892273,-29.470516,69.125778
3.4666567,545.639404,59.999222,572.131409,-29.770248,69.115463
3.4999895,545.650208,59.99918,572.16272,-29.840147,69.104851
3.5333223,545.606506,59.999226,572.03241,-29.711321,69.095863
3.5666552,545.655823,59.99918,572.047668,-29.899803,69.085373
3.599988,545.645081,59.999142,571.996094,-29.85738,69.074287
3.6333208,545.622864,59.999207,571.882996,-29.774076,69.065292
3.6666536,545.653748,59.999176,571.909973,-29.878897,69.054962
3.6999865,545.59021,59.999149,571.859924,-29.712582,69.044212
3.7333193,545.539795,59.999134,571.920227,-29.537428,69.033485
3.7666521,545.499023,59.999092,572.019958,-29.474562,69.022003
3.7999849,545.52301,59.99905,572.191406,-29.562193,69.009911
3.8333178,545.661194,59.99902,572.342529,-30.024141,68.997459
3.8666506,545.734619,59.999023,572.230408,-30.169481,68.98558
3.8999834,545.665405,59.999069,571.855469,-29.92745,68.974762
3.9333162,545.629333,59.999104,571.656433,-29.832436,68.964119
3.9666491,545.591248,59.999161,571.598328,-29.688396,68.954544
3.9999819,545.510864,59.999218,571.639648,-29.405001,68.945625
4.0333147,545.576172,59.999184,571.950073,-29.652893,68.935341
4.0666475,545.636658,59.999126,572.205322,-29.799152,68.923996
4.0999804,545.586182,59.999165,572.15448,-29.665358,68.914131
4.1333132,545.532898,59.999287,571.979675,-29.553425,68.906647
4.166646,545.493408,59.999367,571.896118,-29.417599,68.899925
4.1999788,545.501038,59.999359,571.977234,-29.387253,68.892014
4.2333117,545.524292,59.999332,572.043213,-29.444658,68.883522
4.2666445,545.505737,59.999268,572.081299,-29.378817,68.87381
4.2999773,545.49707,59.999142,572.148926,-29.342365,68.862
4.3333101,545.624451,59.998936,572.358154,-29.766682,68.84671
4.366643,545.592712,59.998856,572.197632,-29.684084,68.831566
4.3999758,545.421326,59.998932,571.835693,-29.169884,68.819435
4.4333086,545.494934,59.998783,571.98999,-29.416323,68.803116
4.4666414,545.5224,59.998585,572.178101,-29.446688,68.783524
4.4999743,545.452271,59.998547,572.115295,-29.214567,68.765251
4.5333071,545.392517,59.998497,572.052002,-29.074701,68.746681
4.5666399,545.414612,59.998306,572.217407,-29.175394,68.724075
4.5999727,545.412354,59.998192,572.277344,-29.159874,68.700569
4.6333055,545.40741,59.998161,572.218323,-29.135279,68.678055
4.6666384,545.434143,59.998047,572.18573,-29.180387,68.653168
4.6999712,545.383057,59.997887,572.098938,-29.023556,68.625893
4.733304,545.39679,59.997746,572.143127,-29.051319,68.596962
4.7666368,545.384949,59.997631,572.115295,-29.023712,68.567017
4.7999697,545.393188,59.997578,572.082825,-29.033644,68.537056
4.8333025,545.412781,59.997513,572.051941,-29.047806,68.50634
4.8666353,545.432373,59.997467,572.021057,-29.066334,68.475174
4.8999681,545.439636,59.997433,571.962952,-29.033518,68.443855
4.933301,545.424255,59.997368,571.900757,-29.019651,68.411308
4.9666338,545.448425,59.997257,572.006165,-29.029018,68.376999
4.9999666,545.463379,59.997154,572.065369,-29.08223,68.341507
5.0332994,545.46405,59.997086,572.085266,-29.082893,68.30555
5.0666323,545.454102,59.997055,572.043945,-29.063072,68.269592
5.0999651,545.427246,59.997036,571.991089,-28.998009,68.233635
5.1332979,545.455078,59.997028,572.02417,-29.040548,68.19767
5.1666307,545.490051,59.997025,572.00238,-29.151958,68.161705
5.1999636,545.491089,59.996986,571.973083,-29.140276,68.124977
5.2332964,545.444763,59.996952,571.892395,-28.989393,68.08783
5.2666292,545.421997,59.996929,571.921082,-28.921934,68.050537
5.299962,545.408936,59.996883,572.010132,-28.884674,68.012306
5.3332949,545.355103,59.996902,572.009277,-28.721628,67.975174
5.3666277,545.347839,59.99691,572.052917,-28.746254,67.938034
5.3999605,545.40094,59.996918,572.147522,-28.8629,67.900871
5.4332933,545.393555,59.996952,572.051208,-28.823355,67.864441
5.4666262,545.407104,59.996986,571.971069,-28.824654,67.828461
5.499959,545.423218,59.996967,571.913513,-28.841602,67.791733
5.5332918,545.415771,59.996906,571.893677,-28.801346,67.753799
5.5666246,545.428894,59.996826,571.965454,-28.802767,67.714676
5.5999575,545.395691,59.996738,571.991089,-28.721069,67.674377
5.6332903,545.362671,59.996681,572.043579,-28.607929,67.633644
5.6666231,545.419128,59.996651,572.16156,-28.769196,67.592873
5.6999559,545.412659,59.996635,572.102783,-28.740978,67.552101
5.7332888,545.368591,59.996628,571.998108,-28.613972,67.511337
5.7666216,545.411743,59.996613,572.002197,-28.734901,67.470406
5.7999544,545.476135,59.996559,572.048218,-28.87727,67.428261
5.8332872,545.490417,59.996487,571.994629,-28.913996,67.385078
5.8666201,545.515259,59.996452,571.952209,-28.951284,67.341888
5.8999529,545.572205,59.996433,571.940369,-29.082785,67.298691
5.9332857,545.553833,59.996426,571.809937,-29.052437,67.255501
5.9666185,545.465332,59.996426,571.727295,-28.786409,67.212357
5.9999514,545.435852,59.996422,571.836365,-28.718985,67.169228
6.0332842,545.468018,59.996422,572.02301,-28.848557,67.126091
6.066617,545.454224,59.996429,572.09259,-28.804123,67.083092
6.0999498,545.42334,59.996441,572.104797,-28.739162,67.040382
6.1332827,545.527039,59.996422,572.205627,-29.089237,66.997032
6.1666155,545.567139,59.996445,572.115234,-29.14156,66.954269
6.1999483,545.539551,59.996567,571.842834,-29.068073,66.914207
