tA,vA,fA,pA,qA,aA
0,512.758789,60.000015,564.985535,-14.066871,69.612015
0.0333333,512.758728,60.000027,564.985535,-14.065199,69.612183
0.0666667,512.758667,60.00008,564.950012,-14.060177,69.613548
0.1,512.76593,60.000156,564.906311,-14.059162,69.616104
0.1333334,512.770325,60.000237,564.859619,-14.04793,69.61969
0.1666667,512.75824,60.000278,564.835144,-13.98585,69.623299
0.2,512.746155,60.000298,564.860901,-13.96402,69.626915
0.2333333,512.734009,60.000309,564.929443,-13.914553,69.630547
0.2666666,512.721985,60.000313,564.983948,-13.903268,69.634178
0.2999999,512.713318,60.000309,565.058655,-13.87804,69.63765
0.3333332,512.715149,60.000263,565.123535,-13.920712,69.640076
0.3666665,512.717163,60.00024,565.157471,-13.930243,69.642487
0.3999998,512.719177,60.000195,565.152954,-13.932911,69.644157
0.4333331,512.711792,60.000156,565.109375,-13.929403,69.645355
0.4666664,512.701172,60.000137,565.057373,-13.880537,69.646545
0.4999997,512.690613,60.000118,565.00531,-13.833128,69.647591
0.533333,512.680176,60.000069,564.991333,-13.810129,69.647598
0.5666663,512.669678,60.000042,564.991455,-13.74894,69.647606
0.5999996,512.666077,60.000023,565.004089,-13.734669,69.647461
0.6333329,512.664917,59.999969,565.04541,-13.718818,69.646278
0.6666662,512.663635,59.999943,565.060303,-13.71502,69.645081
0.6999995,512.662476,59.999931,565.046631,-13.700661,69.643875
0.7333328,512.673279,59.999889,565.058105,-13.719901,69.641953
0.7666661,512.688171,59.999855,565.054871,-13.736526,69.639587
0.7999994,512.703003,59.999836,565.025391,-13.765142,69.637222
0.8333327,512.712219,59.999828,564.96814,-13.763923,69.634865
0.866666,512.703857,59.999825,564.931885,-13.711911,69.6325
0.8999993,512.695557,59.999821,564.895752,-13.65988,69.63015
0.9333326,512.679749,59.999821,564.896545,-13.602593,69.627808
0.9666659,512.661316,59.999821,564.913635,-13.552308,69.625473
0.9999992,512.642761,59.999821,564.966248,-13.49345,69.623138
1.0333329,512.624329,59.999825,565.00238,-13.450191,69.620819
1.0666667,512.609619,59.999825,565.061768,-13.414142,69.618492
1.1000005,512.606506,59.999821,565.098145,-13.386904,69.616158
1.1333343,512.603394,59.999821,565.101257,-13.39088,69.613808
1.1666681,512.600281,59.999821,565.082825,-13.365203,69.61145
1.2000018,512.597229,59.999821,565.042908,-13.309789,69.609093
1.2333356,512.594177,59.999821,565.005493,-13.277049,69.606735
1.2666694,512.591125,59.999821,564.965637,-13.221663,69.604378
1.3000032,512.588013,59.999821,564.954346,-13.176862,69.60202
