tA,vA,fA,pA,qA,aA
0,547.450012,60.000015,569.980835,-14.170053,69.601402
0.0333333,547.438599,60.000023,569.97406,-14.123823,69.60154
0.0666667,547.419373,60.000034,569.959045,-14.075438,69.601875
0.1,547.416199,60.000038,569.966003,-14.076098,69.60218
0.1333334,547.413513,60.000008,570.003906,-14.095042,69.601791
0.1666667,547.411194,59.999969,570.036804,-14.0717,69.600792
0.2,547.410889,59.999954,570.046387,-14.085152,69.599823
0.2333333,547.419434,59.999947,570.055054,-14.094724,69.598877
0.2666666,547.412659,59.999928,570.01709,-14.095564,69.597641
0.2999999,547.410339,59.999901,569.99884,-14.060365,69.595932
0.3333332,547.413574,59.999878,569.991577,-14.075428,69.594048
0.3666665,547.413513,59.99984,569.990906,-14.100486,69.591522
0.3999998,547.40686,59.999809,570.013611,-14.047651,69.588623
0.4333331,547.399536,59.999783,570.010132,-14.033259,69.585571
0.4666664,547.393677,59.999741,570.018311,-14.029983,69.581787
0.4999997,547.385986,59.999702,570.049866,-13.993762,69.577591
0.533333,547.38678,59.999683,570.054626,-13.991335,69.573357
0.5666663,547.40332,59.99968,570.050537,-14.024491,69.569305
0.5999996,547.412842,59.999683,570.008484,-14.045154,69.565346
0.6333329,547.401611,59.999687,569.939636,-14.016618,69.561417
0.6666662,547.390808,59.999664,569.927185,-13.96743,69.556992
0.6999995,547.393372,59.999638,569.954041,-13.978839,69.552132
0.7333328,547.398315,59.999596,570.018799,-13.963562,69.546631
0.7666661,547.403076,59.99955,570.042664,-14.03233,69.540497
0.7999994,547.400269,59.999531,570.04834,-14.003651,69.534416
0.8333327,547.407715,59.999512,570.049316,-14.017715,69.52816
0.866666,547.411804,59.999496,570.01123,-14.066596,69.521729
0.8999993,547.407349,59.999481,569.984558,-14.03181,69.515106
0.9333326,547.394836,59.999443,569.984802,-13.970336,69.507813
0.9666659,547.395508,59.999382,570.019104,-14.019426,69.49955
0.9999992,547.401184,59.99934,570.053345,-14.024033,69.490913
1.0333328,547.40332,59.999313,570.048401,-14.062723,69.48217
1.0666666,547.411682,59.999325,570.009155,-14.080769,69.473984
1.1000004,547.409302,59.999352,569.953857,-14.045487,69.466263
1.1333342,547.411377,59.999378,569.908264,-14.055385,69.458878
1.1666679,547.418457,59.999397,569.88855,-14.070765,69.451721
1.2000017,547.4245,59.999416,569.887878,-14.092426,69.444695
1.2333355,547.424622,59.999416,569.921997,-14.038177,69.437477
1.2666693,547.425537,59.999435,569.936523,-14.064958,69.430695
1.3000031,547.424561,59.999443,569.954224,-14.046753,69.423943
1.3333368,547.425049,59.999451,569.993896,-14.036388,69.417183
1.3666706,547.423889,59.999454,570.006348,-14.062372,69.410477
1.4000044,547.427734,59.999451,569.998352,-14.126299,69.403679
1.4333382,547.429504,59.999439,570.029175,-14.115461,69.396584
1.4666719,547.433044,59.999447,570.01593,-14.130737,69.389809
1.5000057,547.43158,59.999462,569.992615,-14.094472,69.383339
1.5333395,547.421692,59.999466,569.955261,-14.103213,69.376801
1.5666733,547.424744,59.999477,569.951843,-14.1182,69.370438
1.6000071,547.423828,59.999504,569.949646,-14.083834,69.364548
1.6333408,547.415771,59.999542,569.924683,-14.084014,69.359261
1.6666746,547.410583,59.999561,569.928345,-14.046444,69.354073
1.7000084,547.42041,59.999603,569.937378,-14.091884,69.349533
1.7333422,547.434326,59.999645,569.930542,-14.123638,69.345604
1.7666759,547.442871,59.999691,569.923462,-14.105652,69.342178
1.8000097,547.438293,59.999725,569.90802,-14.03974,69.339066
1.8333435,547.426086,59.999744,569.899658,-14.025556,69.335983
1.8666773,547.412415,59.999756,569.93573,-13.981152,69.332993
1.9000111,547.395569,59.999744,569.978638,-13.944636,69.329597
1.9333448,547.382324,59.999722,570.055664,-13.923272,69.325851
1.9666786,547.40094,59.999714,570.099487,-14.017468,69.322067
2.0000124,547.405029,59.999718,570.0979,-14.004089,69.318558
2.0333455,547.40625,59.999737,570.037354,-14.012295,69.315422
2.0666783,547.413696,59.999771,569.963074,-14.007195,69.312859
2.1000111,547.414368,59.999813,569.881897,-13.996378,69.31086
2.1333439,547.421814,59.999836,569.863831,-13.95931,69.308968
2.1666768,547.422363,59.999859,569.843628,-13.967798,69.30735
2.2000096,547.420227,59.999866,569.89209,-13.910778,69.305664
