tA,vA,fA,pA,qA,aA
0,520.233398,60.000015,559.986328,-11.106905,69.608597
0.0333333,520.189697,60.000015,559.95343,-10.978784,69.608597
0.0666667,520.177734,60.000019,559.98407,-10.950454,69.608612
0.1,520.166443,60.000233,559.905029,-10.881048,69.613113
0.1333334,520.166809,60.000626,559.677856,-10.788977,69.625092
0.1666667,520.157837,60.00082,559.568909,-10.677979,69.637093
0.2,520.127563,60.000706,559.692322,-10.572654,69.644653
0.2333333,520.076904,60.00058,559.945679,-10.442275,69.649239
0.2666666,520.082703,60.000587,560.149597,-10.463223,69.656815
0.2999999,520.062805,60.000519,560.32489,-10.424855,69.661362
0.3333332,520.073792,60.000553,560.321533,-10.455641,69.668877
0.3666665,520.068909,60.000286,560.422852,-10.494696,69.668907
0.3999998,520.0224,60.000153,560.369934,-10.382412,69.668922
0.4333331,519.994995,59.99987,560.37793,-10.351468,69.664474
0.4666664,520.00885,59.999447,560.555115,-10.440865,69.65258
0.4999997,520.002014,59.999233,560.540222,-10.423063,69.640671
0.533333,519.984741,59.999126,560.35199,-10.367218,69.628723
0.5666663,519.982239,59.998859,560.263672,-10.364814,69.612297
0.5999996,519.968079,59.998653,560.200684,-10.317969,69.592834
0.6333329,519.948486,59.998623,560.026001,-10.201899,69.576385
0.6666662,519.975037,59.998322,560.117737,-10.284925,69.55246
0.6999995,520.002197,59.998173,560.149597,-10.323606,69.528526
0.7333328,520.039307,59.998096,560.122131,-10.402656,69.50457
0.7666661,520.081421,59.998058,560.03479,-10.479544,69.480591
0.7999994,520.123413,59.998039,559.937744,-10.55274,69.456612
0.8333327,520.165466,59.998028,559.850281,-10.629452,69.432632
0.866666,520.175964,59.998024,559.755737,-10.604891,69.408676
0.8999993,520.190857,59.998024,559.745667,-10.632255,69.384727
0.9333326,520.212463,59.998238,559.654236,-10.648772,69.365242
0.9666659,520.203552,59.998631,559.458862,-10.51969,69.353264
0.9999992,520.215271,59.998611,559.538818,-10.55185,69.336876
1.0333329,520.222717,59.998535,559.799988,-10.617332,69.317482
1.0666667,520.225342,59.998779,559.863831,-10.625051,69.305573
1.1000005,520.25946,59.999115,559.83374,-10.69618,69.298103
1.1333343,520.27478,59.999565,559.61322,-10.651711,69.298042
1.1666681,520.280212,59.99979,559.532043,-10.619175,69.298019
1.2000018,520.237305,59.999691,559.664551,-10.508362,69.293594
1.2333356,520.163574,59.999577,559.925537,-10.376445,69.286232
1.2666694,520.116638,59.999798,560.022888,-10.276279,69.286285
1.3000032,520.096985,59.999908,560.132263,-10.280706,69.286316
1.3333369,520.146118,60.000179,560.154175,-10.380359,69.290817
1.3666707,520.185059,60.000381,560.032715,-10.422739,69.298271
1.4000045,520.21344,60.000198,560.092041,-10.522589,69.298271
1.4333383,520.242065,60.000107,560.112915,-10.607899,69.298264
1.4666721,520.222168,59.999847,560.148926,-10.5847,69.2938
